Code du département,Libellé du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Nuance Liste,Libellé Abrégé Liste,Nom Tête de Liste,Voix,Nuance Liste.1,Libellé Abrégé Liste.1,Nom Tête de Liste.1,Voix.1,Nuance Liste.2,Libellé Abrégé Liste.2,Nom Tête de Liste.2,Voix.2,Nuance Liste.3,Libellé Abrégé Liste.3,Nom Tête de Liste.3,Voix.3,Nuance Liste.4,Libellé Abrégé Liste.4,Nom Tête de Liste.4,Voix.4,Nuance Liste.5,Libellé Abrégé Liste.5,Nom Tête de Liste.5,Voix.5,Nuance Liste.6,Libellé Abrégé Liste.6,Nom Tête de Liste.6,Voix.6,Nuance Liste.7,Libellé Abrégé Liste.7,Nom Tête de Liste.7,Voix.7,Nuance Liste.8,Libellé Abrégé Liste.8,Nom Tête de Liste.8,Voix.8,Nuance Liste.9,Libellé Abrégé Liste.9,Nom Tête de Liste.9,Voix.9,Nuance Liste.10,Libellé Abrégé Liste.10,Nom Tête de Liste.10,Voix.10,Nuance Liste.11,Libellé Abrégé Liste.11,Nom Tête de Liste.11,Voix.11,Nuance Liste.12,Libellé Abrégé Liste.12,Nom Tête de Liste.12,Voix.12,Nuance Liste.13,Libellé Abrégé Liste.13,Nom Tête de Liste.13,Voix.13,Nuance Liste.14,Libellé Abrégé Liste.14,Nom Tête de Liste.14,Voix.14,Nuance Liste.15,Libellé Abrégé Liste.15,Nom Tête de Liste.15,Voix.15,Nuance Liste.16,Libellé Abrégé Liste.16,Nom Tête de Liste.16,Voix.16,Nuance Liste.17,Libellé Abrégé Liste.17,Nom Tête de Liste.17,Voix.17,Nuance Liste.18,Libellé Abrégé Liste.18,Nom Tête de Liste.18,Voix.18,Nuance Liste.19,Libellé Abrégé Liste.19,Nom Tête de Liste.19,Voix.19,Nuance Liste.20,Libellé Abrégé Liste.20,Nom Tête de Liste.20,Voix.20,Nuance Liste.21,Libellé Abrégé Liste.21,Nom Tête de Liste.21,Voix.21,Nuance Liste.22,Libellé Abrégé Liste.22,Nom Tête de Liste.22,Voix.22,Nuance Liste.23,Libellé Abrégé Liste.23,Nom Tête de Liste.23,Voix.23,Nuance Liste.24,Libellé Abrégé Liste.24,Nom Tête de Liste.24,Voix.24,Nuance Liste.25,Libellé Abrégé Liste.25,Nom Tête de Liste.25,Voix.25,Nuance Liste.26,Libellé Abrégé Liste.26,Nom Tête de Liste.26,Voix.26,Nuance Liste.27,Libellé Abrégé Liste.27,Nom Tête de Liste.27,Voix.27
1,AIN,347353,211274,136079,4551,131528,LXG,Liste d'extrême gauche,MIRGUET,798,LXG,Liste d'extrême gauche,VACHETTA,3077,LPC,Liste du Parti communiste,GOMEZ,4244,LPS,Liste du Parti socialiste,ROCARD,37456,LVE,Liste des Verts,BENNAHMIAS,10575,LRG,Liste régionaliste,ANTHOINE,0,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,2816,LDV,Liste Divers,GOVERNATORI,2424,LDV,Liste Divers,DELAGE,1367,LDV,Liste Divers,GARINO,270,LDV,Liste Divers,AUDIC,41,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,KERDO,0,LDV,Liste Divers,SANMARTIN,8,LDV,Liste Divers,LAURELLI,244,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,22801.0,LUDF,Liste Union pour la démocratie française,CORNILLET,16870.0,LDD,Liste divers droite,MARCHIANI,2651.0,LDD,Liste divers droite,LOUIS,9867.0,LDD,Liste divers droite,LALLOUETTE,1.0,LFN,Liste du Front national,LE PEN,15416.0,LXD,Liste d'extrême droite,VAUZELLE,602.0,,,,,,,,,,,,,,,,,,,,,,,,
2,AISNE,367852,212474,155378,5344,150034,LXG,Liste d'extrême gauche,REITZMAN,1887,LXG,Liste d'extrême gauche,BAUDRIN,5175,LPC,Liste du Parti communiste,HENIN,8699,LPS,Liste du Parti socialiste,WEBER,44541,LVE,Liste des Verts,FLAUTRE,8137,LDG,Liste divers gauche,DUQUENNE,1432,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,3492,LDV,Liste Divers,HUGON,23,LDV,Liste Divers,GERNIGON,8,LDV,Liste Divers,AUGER,20,LDV,Liste Divers,VAN OMMESLAEGHE,22,LDV,Liste Divers,PACAUD,362,LDV,Liste Divers,SUEUR,2801,LDV,Liste Divers,KURZYK,1713,LUMP,Liste Union pour un mouvement populaire,SAIFI,20584,LUDF,Liste Union pour la démocratie française,BOURLANGES,15860.0,LDD,Liste divers droite,BUTEL,8781.0,LDD,Liste divers droite,HERNU,2826.0,LFN,Liste du Front national,LANG,23671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ALLIER,255371,139821,115550,5277,110273,LXG,Liste d'extrême gauche,MAILLOT,1029,LXG,Liste d'extrême gauche,LECLERC,2694,LPC,Liste du Parti communiste,GENESTE,14349,LPS,Liste du Parti socialiste,GUY-QUINT,31562,LVE,Liste des Verts,NORMAND,5855,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,2131,LDV,Liste Divers,TONNIEAU,178,LDV,Liste Divers,TALON,1536,LDV,Liste Divers,GAUDRY,243,LDV,Liste Divers,VELASQUE,2050,LDV,Liste Divers,MORGILLO,1,LDV,Liste Divers,VILLELE DE ,14,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,21519,LUDF,Liste Union pour la démocratie française,FOURTOU,10465,LDD,Liste divers droite,PELTIER,6893,LDD,Liste divers droite,LE BAUZEC,1.0,LFN,Liste du Front national,VERDON,9303.0,LXD,Liste d'extrême droite,JAFFRES,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ALPES DE HAUTE PROVENCE,112613,59192,53421,2019,51402,LXG,Liste d'extrême gauche,MIRGUET,415,LXG,Liste d'extrême gauche,VACHETTA,1538,LPC,Liste du Parti communiste,GOMEZ,3405,LPS,Liste du Parti socialiste,ROCARD,15569,LVE,Liste des Verts,BENNAHMIAS,3914,LRG,Liste régionaliste,ANTHOINE,0,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,1960,LDV,Liste Divers,GOVERNATORI,968,LDV,Liste Divers,GARINO,16,LDV,Liste Divers,DELAGE,442,LDV,Liste Divers,LAURELLI,75,LDV,Liste Divers,SANMARTIN,2,LDV,Liste Divers,KERDO,0,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,AUDIC,5,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,9174.0,LUDF,Liste Union pour la démocratie française,CORNILLET,4250.0,LDD,Liste divers droite,MARCHIANI,1222.0,LDD,Liste divers droite,LOUIS,2711.0,LDD,Liste divers droite,LALLOUETTE,0.0,LFN,Liste du Front national,LE PEN,5266.0,LXD,Liste d'extrême droite,VAUZELLE,470.0,,,,,,,,,,,,,,,,,,,,,,,,
5,HAUTES ALPES,97709,52439,45270,1761,43509,LXG,Liste d'extrême gauche,MIRGUET,217,LXG,Liste d'extrême gauche,VACHETTA,1241,LPC,Liste du Parti communiste,GOMEZ,2064,LPS,Liste du Parti socialiste,ROCARD,13642,LVE,Liste des Verts,BENNAHMIAS,3816,LRG,Liste régionaliste,ANTHOINE,0,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,1617,LDV,Liste Divers,GOVERNATORI,736,LDV,Liste Divers,DELAGE,532,LDV,Liste Divers,LAURELLI,55,LDV,Liste Divers,SANMARTIN,0,LDV,Liste Divers,KERDO,0,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,AUDIC,0,LDV,Liste Divers,GARINO,25,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,7393.0,LUDF,Liste Union pour la démocratie française,CORNILLET,5041.0,LDD,Liste divers droite,MARCHIANI,837.0,LDD,Liste divers droite,LOUIS,2213.0,LDD,Liste divers droite,LALLOUETTE,0.0,LFN,Liste du Front national,LE PEN,3691.0,LXD,Liste d'extrême droite,VAUZELLE,389.0,,,,,,,,,,,,,,,,,,,,,,,,
6,ALPES MARITIMES,677404,416903,260501,5831,254670,LXG,Liste d'extrême gauche,MIRGUET,1078,LXG,Liste d'extrême gauche,VACHETTA,4222,LPC,Liste du Parti communiste,GOMEZ,11415,LPS,Liste du Parti socialiste,ROCARD,64282,LVE,Liste des Verts,BENNAHMIAS,16200,LRG,Liste régionaliste,ANTHOINE,15,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,2550,LDV,Liste Divers,GOVERNATORI,4431,LDV,Liste Divers,DELAGE,2051,LDV,Liste Divers,LAURELLI,257,LDV,Liste Divers,SANMARTIN,30,LDV,Liste Divers,KERDO,65,LDV,Liste Divers,FRAYSSE ,13,LDV,Liste Divers,AUDIC,112,LDV,Liste Divers,GARINO,70,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,55264.0,LUDF,Liste Union pour la démocratie française,CORNILLET,28837.0,LDD,Liste divers droite,MARCHIANI,6936.0,LDD,Liste divers droite,LOUIS,17378.0,LDD,Liste divers droite,LALLOUETTE,8.0,LFN,Liste du Front national,LE PEN,37248.0,LXD,Liste d'extrême droite,VAUZELLE,2208.0,,,,,,,,,,,,,,,,,,,,,,,,
7,ARDECHE,224491,121029,103462,3707,99755,LXG,Liste d'extrême gauche,MIRGUET,650,LXG,Liste d'extrême gauche,VACHETTA,2988,LPC,Liste du Parti communiste,GOMEZ,6139,LPS,Liste du Parti socialiste,ROCARD,30897,LVE,Liste des Verts,BENNAHMIAS,7367,LRG,Liste régionaliste,ANTHOINE,0,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,4305,LDV,Liste Divers,GOVERNATORI,1784,LDV,Liste Divers,DELAGE,915,LDV,Liste Divers,LAURELLI,148,LDV,Liste Divers,SANMARTIN,1,LDV,Liste Divers,KERDO,22,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,AUDIC,12,LDV,Liste Divers,GARINO,221,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,14806.0,LUDF,Liste Union pour la démocratie française,CORNILLET,12630.0,LDD,Liste divers droite,MARCHIANI,1994.0,LDD,Liste divers droite,LOUIS,5292.0,LDD,Liste divers droite,LALLOUETTE,1.0,LFN,Liste du Front national,LE PEN,9328.0,LXD,Liste d'extrême droite,VAUZELLE,255.0,,,,,,,,,,,,,,,,,,,,,,,,
8,ARDENNES,194028,116373,77655,2529,75126,LXG,Liste d'extrême gauche,HOFFMANN,774,LXG,Liste d'extrême gauche,NIMSGERN,2250,LPC,Liste du Parti communiste,POURRE,3003,LPS,Liste du Parti socialiste,MOSCOVICI,23900,LVE,Liste des Verts,ISLER-BEGUIN,3091,LEC,Liste écologiste,WAECHTER,1468,LDV,Liste Divers,MERCK,1199,LDV,Liste Divers,MARCINEK,2776,LDV,Liste Divers,ROHER ,731,LDV,Liste Divers,PICO,17,LDV,Liste Divers,LAMBEAUX,5,LDV,Liste Divers,ETIENNE,164,LDV,Liste Divers,ALLENBACH,3,LDV,Liste Divers,SCHMITT,152,LUMP,Liste Union pour un mouvement populaire,DAUL,11840,LUDF,Liste Union pour la démocratie française,GRIESBECK,7798.0,LDD,Liste divers droite,MONZANI,1645.0,LDD,Liste divers droite,MILLET,3980.0,LFN,Liste du Front national,GOLLNISCH,9833.0,LXD,Liste d'extrême droite,MEGRET,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ARIEGE,110116,56978,53138,2481,50657,LXG,Liste d'extrême gauche,CHEVALIER,421,LXG,Liste d'extrême gauche,KRIVINE,1503,LPC,Liste du Parti communiste,POLO,3935,LPS,Liste du Parti socialiste,ARIF,20417,LVE,Liste des Verts,ONESTA,4335,LRG,Liste régionaliste,LACOUR,122,LRG,Liste régionaliste,LACO,2,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,2171,LDV,Liste Divers,SALADIN,34,LDV,Liste Divers,LANGHI,75,LDV,Liste Divers,PATRY,10,LDV,Liste Divers,MANSOURI,1,LDV,Liste Divers,BOYER,2,LDV,Liste Divers,JOUBERT,1,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,BARITEL,0.0,LDV,Liste Divers,GARRIGUES,877.0,LDV,Liste Divers,ROY,367.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,5509.0,LUDF,Liste Union pour la démocratie française,CAVADA,4535.0,LDD,Liste divers droite,LECONTE,1485.0,LDD,Liste divers droite,ABITBOL,872.0,LDD,Liste divers droite,SCHEIWILLER,1.0,LFN,Liste du Front national,MARTINEZ,3842.0,LXD,Liste d'extrême droite,SOUVILLE,140.0,,,,,,,,
10,AUBE,196070,111886,84184,2680,81504,LXG,Liste d'extrême gauche,HOFFMANN,620,LXG,Liste d'extrême gauche,NIMSGERN,1742,LPC,Liste du Parti communiste,POURRE,2997,LPS,Liste du Parti socialiste,MOSCOVICI,20519,LVE,Liste des Verts,ISLER-BEGUIN,3727,LEC,Liste écologiste,WAECHTER,1602,LDV,Liste Divers,MERCK,1519,LDV,Liste Divers,ETIENNE,158,LDV,Liste Divers,LAMBEAUX,2,LDV,Liste Divers,PICO,34,LDV,Liste Divers,ROHER ,1118,LDV,Liste Divers,SCHMITT,199,LDV,Liste Divers,MARCINEK,2021,LDV,Liste Divers,ALLENBACH,4,LUMP,Liste Union pour un mouvement populaire,DAUL,17719,LUDF,Liste Union pour la démocratie française,GRIESBECK,8224.0,LDD,Liste divers droite,MONZANI,1633.0,LDD,Liste divers droite,MILLET,5200.0,LFN,Liste du Front national,GOLLNISCH,12032.0,LXD,Liste d'extrême droite,MEGRET,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AUDE,242720,127388,115332,5910,109422,LXG,Liste d'extrême gauche,CHEVALIER,919,LXG,Liste d'extrême gauche,KRIVINE,3332,LPC,Liste du Parti communiste,POLO,8398,LPS,Liste du Parti socialiste,ARIF,38792,LVE,Liste des Verts,ONESTA,7256,LRG,Liste régionaliste,LACOUR,633,LRG,Liste régionaliste,LACO,17,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,3617,LDV,Liste Divers,SALADIN,57,LDV,Liste Divers,GARRIGUES,1946,LDV,Liste Divers,BARITEL,5,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,BOYER,15,LDV,Liste Divers,MANSOURI,0.0,LDV,Liste Divers,PATRY,50.0,LDV,Liste Divers,LANGHI,118.0,LDV,Liste Divers,ROY,906.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,14789.0,LUDF,Liste Union pour la démocratie française,CAVADA,9145.0,LDD,Liste divers droite,LECONTE,4822.0,LDD,Liste divers droite,ABITBOL,2448.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,11699.0,LXD,Liste d'extrême droite,SOUVILLE,458.0,,,,,,,,
12,AVEYRON,214804,110565,104239,6123,98116,LXG,Liste d'extrême gauche,CHEVALIER,800,LXG,Liste d'extrême gauche,KRIVINE,2329,LPC,Liste du Parti communiste,POLO,4252,LPS,Liste du Parti socialiste,ARIF,28570,LVE,Liste des Verts,ONESTA,7478,LRG,Liste régionaliste,LACOUR,354,LRG,Liste régionaliste,LACO,1,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,3594,LDV,Liste Divers,SALADIN,12,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,0,LDV,Liste Divers,BOYER,0,LDV,Liste Divers,GARRIGUES,1979,LDV,Liste Divers,PATRY,0,LDV,Liste Divers,BARITEL,0,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,MANSOURI,0.0,LDV,Liste Divers,LANGHI,5.0,LDV,Liste Divers,ROY,901.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,17730.0,LUDF,Liste Union pour la démocratie française,CAVADA,16759.0,LDD,Liste divers droite,LECONTE,4633.0,LDD,Liste divers droite,ABITBOL,2789.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,5634.0,LXD,Liste d'extrême droite,SOUVILLE,296.0,,,,,,,,
13,BOUCHES DU RHONE,1179518,725035,454483,12408,442075,LXG,Liste d'extrême gauche,MIRGUET,2813,LXG,Liste d'extrême gauche,VACHETTA,11037,LPC,Liste du Parti communiste,GOMEZ,34073,LPS,Liste du Parti socialiste,ROCARD,129236,LVE,Liste des Verts,BENNAHMIAS,31469,LRG,Liste régionaliste,ANTHOINE,8,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,8676,LDV,Liste Divers,GOVERNATORI,6083,LDV,Liste Divers,LAURELLI,633,LDV,Liste Divers,SANMARTIN,58,LDV,Liste Divers,KERDO,10,LDV,Liste Divers,FRAYSSE ,46,LDV,Liste Divers,AUDIC,74,LDV,Liste Divers,GARINO,123,LDV,Liste Divers,DELAGE,3095,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,68609.0,LUDF,Liste Union pour la démocratie française,CORNILLET,41909.0,LDD,Liste divers droite,MARCHIANI,10004.0,LDD,Liste divers droite,LOUIS,23591.0,LDD,Liste divers droite,LALLOUETTE,1.0,LFN,Liste du Front national,LE PEN,64475.0,LXD,Liste d'extrême droite,VAUZELLE,6052.0,,,,,,,,,,,,,,,,,,,,,,,,
14,CALVADOS,459099,259781,199318,5840,193478,LXG,Liste d'extrême gauche,REITZMAN,1912,LXG,Liste d'extrême gauche,BAUDRIN,5054,LPC,Liste du Parti communiste,HENIN,5715,LPS,Liste du Parti socialiste,WEBER,59391,LVE,Liste des Verts,FLAUTRE,15900,LDG,Liste divers gauche,DUQUENNE,2005,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,8866,LDV,Liste Divers,HUGON,126,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,VAN OMMESLAEGHE,62,LDV,Liste Divers,SUEUR,3455,LDV,Liste Divers,KURZYK,1971,LDV,Liste Divers,PACAUD,486,LDV,Liste Divers,GERNIGON,17,LUMP,Liste Union pour un mouvement populaire,SAIFI,28427,LUDF,Liste Union pour la démocratie française,BOURLANGES,25788.0,LDD,Liste divers droite,BUTEL,13735.0,LDD,Liste divers droite,HERNU,3671.0,LFN,Liste du Front national,LANG,16897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
